activation,init,lr,lr_reg,opt,reg,units1,loss
relu, random_uniform, 0.0001, 1e-05, SGD, l1, 64, 91.1044
relu, random_normal, 0.01, 0.0001, SGD, l1l2, 128, 59.6595
relu, random_uniform, 0.01, 1e-05, SGD, l1, 64, 37.7591
relu, random_uniform, 0.01, 1e-05, SGD, l1, 64, 37.209
relu, random_uniform, 0.01, 1e-05, SGD, l1, 64, 36.648
relu, random_uniform, 0.01, 1e-05, SGD, l1, 64, 37.5836
relu, random_uniform, 0.01, 1e-05, SGD, l1, 64, 38.0208
relu, random_uniform, 0.01, 1e-05, SGD, l1, 64, 36.7681
relu, random_uniform, 0.01, 1e-05, SGD, l1, 64, 37.1065
relu, random_uniform, 0.01, 1e-05, SGD, l1, 64, 37.3447
relu, random_uniform, 0.01, 1e-05, SGD, l1, 64, 37.1371
relu, random_uniform, 0.01, 1e-05, Adamgrad, l1, 64, 90.879
relu, random_uniform, 0.001, 0.01, SGD, l1, 64, 91.1044
relu, random_uniform, 0.01, 1e-05, RMSprop, l1, 64, 34.9221
relu, random_uniform, 0.01, 0.0001, RMSprop, l2, 64, 36.195
relu, random_uniform, 0.01, 0.0001, RMSprop, l2, 32, 35.9036
linear, random_uniform, 0.01, 0.0001, RMSprop, l2, 32, 38.838
relu, random_uniform, 0.0001, 0.0001, RMSprop, l2, 32, 69.8589
relu, random_normal, 0.0001, 0.001, Adamgrad, l2, 32, 92.403
linear, random_normal, 0.01, 0.0001, SGD, l1, 32, 38.4051
relu, random_uniform, 0.001, 0.001, Adam, l2, 32, 91.1063
relu, random_uniform, 0.01, 0.001, Adamgrad, l1l2, 32, 91.1063
linear, random_uniform, 0.0001, 0.0001, Adam, l2, 64, 91.1063
relu, random_normal, 0.001, 1e-05, RMSprop, l1l2, 32, 45.9843
relu, random_normal, 0.0001, 0.0001, SGD, l1l2, 32, 91.1063
linear, random_uniform, 0.0001, 1e-05, Adamgrad, l2, 64, 91.1063
linear, random_normal, 0.001, 0.0001, RMSprop, l1l2, 128, 46.6065
linear, random_uniform, 0.001, 0.01, SGD, l2, 32, 91.1063
relu, random_normal, 0.001, 0.001, Adamgrad, l1, 32, 91.1063
linear, random_normal, 0.01, 0.001, Adam, l1, 128, 59.9347
linear, random_uniform, 0.0001, 0.01, SGD, l1l2, 32, 91.1063
linear, random_uniform, 0.0001, 0.0001, Adamgrad, l1l2, 128, 91.1063
relu, random_uniform, 0.01, 0.01, SGD, l1l2, 128, 91.1063
relu, random_uniform, 0.0001, 0.001, Adamgrad, l1l2, 128, 91.1063
relu, random_normal, 0.0001, 1e-05, Adamgrad, l1l2, 64, 91.1063
linear, random_uniform, 0.001, 0.01, Adam, l2, 64, 91.1063
relu, random_uniform, 0.01, 0.001, SGD, l2, 128, 38.0029
linear, random_uniform, 0.001, 1e-05, Adam, l1l2, 64, 91.1063
linear, random_normal, 0.01, 0.0001, SGD, l1, 128, 39.5314
relu, random_normal, 0.01, 0.0001, SGD, l1, 128, 38.1447
relu, random_normal, 0.01, 0.001, SGD, l1, 128, 49.9308
relu, random_normal, 0.01, 0.0001, SGD, l1, 128, 36.5697
relu, random_normal, 0.01, 0.001, SGD, l2, 128, 37.543
relu, random_normal, 0.01, 0.0001, RMSprop, l1, 128, 34.7209
relu, random_normal, 0.01, 0.0001, RMSprop, l1, 128, 33.445
relu, random_normal, 0.01, 0.0001, RMSprop, l1, 128, 35.743
relu, random_normal, 0.01, 0.0001, RMSprop, l1, 128, 36.6902
relu, random_normal, 0.01, 0.0001, RMSprop, l1, 128, 35.1946
